                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.96599,                   0.54,                 1.0331,                0.77181,                0.71044,                0.75061,                0.43411,                 1.5632,                0.92035,                 1.4468,             0.00072631,             0.00072631,             0.00072631
                     59,                0.95574,                0.54152,                 1.0314,                0.73939,                 0.7573,                0.74822,                0.41486,                 1.6014,                0.93846,                 1.4929,             0.00070981,             0.00070981,             0.00070981
                     60,                0.93548,                0.52755,                 1.0285,                0.76099,                0.76168,                0.76904,                0.44932,                 1.5301,                0.82852,                 1.4336,             0.00069331,             0.00069331,             0.00069331
                     61,                0.94163,                0.52392,                 1.0204,                0.80735,                0.74804,                0.76731,                0.45091,                 1.4723,                0.83931,                 1.3976,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.9553,                0.52792,                 1.0335,                0.78328,                0.69589,                0.74264,                0.44282,                 1.4597,                0.90777,                 1.3967,              0.0006603,              0.0006603,              0.0006603
                     63,                0.94072,                0.52341,                 1.0317,                0.80618,                0.67368,                 0.7637,                0.43076,                 1.5465,                0.90347,                 1.4767,              0.0006438,              0.0006438,              0.0006438
                     64,                0.92611,                0.52345,                 1.0288,                0.73068,                0.75111,                0.75829,                0.44242,                  1.578,                0.88065,                 1.4802,             0.00062729,             0.00062729,             0.00062729
                     65,                0.90848,                0.50964,                 1.0043,                0.77061,                0.75898,                0.76486,                0.44834,                 1.4858,                0.88065,                 1.3974,             0.00061079,             0.00061079,             0.00061079
                     66,                0.90714,                0.50101,                 1.0067,                0.82093,                   0.75,                0.78765,                 0.4459,                 1.5834,                0.85347,                 1.4997,             0.00059429,             0.00059429,             0.00059429
                     67,                0.89522,                0.50809,                  1.005,                0.75406,                0.75168,                0.77791,                0.44928,                 1.4826,                0.86928,                 1.4194,             0.00057778,             0.00057778,             0.00057778
                     68,                0.89173,                0.50222,                  1.014,                0.79673,                0.72762,                0.74986,                0.43117,                 1.5205,                0.87556,                 1.4424,             0.00056128,             0.00056128,             0.00056128
                     69,                0.89199,                0.49057,                 1.0037,                0.75997,                0.72338,                0.74352,                0.43394,                 1.5134,                0.96185,                 1.4283,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.8713,                0.49528,                 1.0002,                0.75613,                0.71773,                0.73662,                0.42294,                 1.5346,                0.90523,                 1.4577,             0.00052827,             0.00052827,             0.00052827
                     71,                0.85335,                0.48091,                0.98869,                0.81171,                0.74389,                0.77898,                0.46041,                 1.4701,                0.86813,                 1.4079,             0.00051177,             0.00051177,             0.00051177
                     72,                0.86078,                0.48199,                0.99324,                0.83233,                0.69052,                0.75628,                0.42484,                 1.5802,                0.96162,                 1.5158,             0.00049527,             0.00049527,             0.00049527
                     73,                0.85299,                0.47571,                0.97958,                 0.8023,                0.74832,                 0.7776,                0.45627,                  1.507,                0.88563,                 1.4553,             0.00047876,             0.00047876,             0.00047876
                     74,                  0.841,                0.47357,                0.98155,                0.79371,                0.74551,                0.77067,                0.43435,                 1.5726,                0.93138,                 1.4981,             0.00046226,             0.00046226,             0.00046226
                     75,                0.83701,                0.46258,                0.99004,                 0.7658,                0.74551,                0.76227,                0.43765,                 1.5334,                 0.9107,                  1.454,             0.00044576,             0.00044576,             0.00044576
                     76,                0.84923,                0.47393,                0.98788,                0.81653,                0.69401,                0.76172,                0.44737,                 1.5113,                0.93012,                 1.4269,             0.00042925,             0.00042925,             0.00042925
                     77,                0.83271,                0.45577,                0.98119,                 0.8001,                0.73457,                0.77517,                0.44755,                 1.5224,                0.91431,                 1.4611,             0.00041275,             0.00041275,             0.00041275
                     78,                0.80988,                0.43749,                0.97296,                0.80195,                0.70746,                 0.7495,                0.42907,                 1.5401,                0.89598,                 1.4802,             0.00039625,             0.00039625,             0.00039625
                     79,                0.79205,                0.43438,                0.96001,                0.78171,                0.76035,                0.78396,                0.46555,                 1.4988,                0.90494,                 1.4249,             0.00037974,             0.00037974,             0.00037974
                     80,                0.78965,                0.43026,                0.96107,                0.75795,                0.76177,                0.75782,                  0.443,                 1.5192,                0.91821,                  1.452,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.8077,                0.44517,                0.97559,                0.77409,                0.74847,                0.75408,                0.43921,                 1.5091,                0.87351,                 1.4478,             0.00034674,             0.00034674,             0.00034674
                     82,                0.80172,                 0.4541,                0.96966,                0.74801,                   0.75,                0.75907,                0.44559,                 1.4841,                0.89883,                 1.4161,             0.00033023,             0.00033023,             0.00033023
                     83,                0.78222,                0.42887,                0.96091,                0.75108,                0.74605,                0.75929,                0.44146,                 1.5094,                0.89629,                 1.4447,             0.00031373,             0.00031373,             0.00031373
                     84,                0.77592,                0.43375,                0.95898,                0.81017,                0.71633,                0.76288,                 0.4444,                  1.505,                0.89625,                 1.4536,             0.00029723,             0.00029723,             0.00029723
                     85,                0.77249,                0.42506,                0.96222,                0.75765,                0.76866,                0.75795,                0.43533,                 1.5199,                0.89134,                 1.4623,             0.00028072,             0.00028072,             0.00028072
                     86,                0.76052,                0.42342,                0.95461,                0.78213,                0.74869,                0.76907,                0.44443,                 1.4907,                 0.8821,                 1.4479,             0.00026422,             0.00026422,             0.00026422
                     87,                0.76522,                0.42249,                0.95599,                0.78979,                0.72222,                0.76219,                0.44382,                 1.5033,                0.91017,                 1.4835,             0.00024772,             0.00024772,             0.00024772
                     88,                0.74347,                0.41474,                0.94447,                0.82698,                0.70464,                0.76838,                0.44845,                 1.4999,                0.92418,                  1.463,             0.00023121,             0.00023121,             0.00023121
                     89,                0.74381,                0.41541,                0.95052,                 0.8114,                0.70999,                0.76801,                0.45127,                 1.4845,                 0.9224,                 1.4601,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.7497,                0.41065,                0.94949,                0.77864,                0.72082,                0.77453,                 0.4495,                 1.5239,                0.93589,                 1.4893,             0.00019821,             0.00019821,             0.00019821
                     91,                0.75662,                0.36205,                0.97127,                0.78602,                0.75758,                 0.7754,                0.44849,                 1.4911,                0.87585,                 1.4549,              0.0001817,              0.0001817,              0.0001817
                     92,                0.71553,                0.35114,                 0.9443,                0.80314,                0.75758,                0.76644,                0.45048,                 1.5002,                0.89136,                   1.45,              0.0001652,              0.0001652,              0.0001652
                     93,                0.72613,                0.34678,                 0.9496,                0.81223,                0.74523,                0.75992,                0.45158,                 1.4766,                0.87861,                  1.423,              0.0001487,              0.0001487,              0.0001487
                     94,                0.74015,                0.36301,                0.96061,                0.79372,                0.75714,                0.75953,                0.45283,                 1.4605,                0.88693,                 1.4096,             0.00013219,             0.00013219,             0.00013219
                     95,                0.70608,                0.34267,                0.94493,                 0.7918,                 0.7461,                0.75988,                0.45137,                 1.4814,                0.88459,                 1.4367,             0.00011569,             0.00011569,             0.00011569
                     96,                0.70108,                   0.34,                  0.941,                0.80415,                0.74551,                0.76692,                0.45778,                 1.4844,                0.89769,                 1.4503,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.69996,                0.33724,                0.94828,                0.77979,                0.75982,                0.77331,                0.46379,                 1.4844,                0.89067,                 1.4517,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.68536,                0.33227,                 0.9401,                0.81248,                 0.7336,                0.77018,                0.46322,                 1.4761,                0.89728,                  1.442,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.68585,                0.32905,                0.93592,                0.78993,                0.74547,                0.77228,                0.45969,                 1.4893,                0.89463,                 1.4538,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.68362,                0.33449,                0.94284,                0.82506,                0.71274,                0.77021,                0.46011,                 1.4825,                0.88708,                 1.4492,             3.3173e-05,             3.3173e-05,             3.3173e-05
